Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score��,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Eleva
"Running,2026-04-08 20:10:05,false,""Running"",""7.66"",""564"",""00:40:04"",""135"",""148"",""2.7"",""165"",""169"",""5:14"",""4:33"",""2"",""10"",""1.16"",""8.9"",""10.5"",""247"",""49.4% L / 50.6% R"",""0.0"",""6,548"",""10.0"",""No"",""00:03:17.2"",""8"",""16.0"",""30"",""19"",""34"",""00:40:03"",""00:40:04"",""-11"",""-0"""
"Running,2026-04-07 10:15:15,false,""Run 07.04.26"",""14.58"",""1,119"",""01:15:07"",""146"",""167"",""3.8"",""162"",""239"",""5:09"",""2:44"",""52"",""373"",""1.19"",""8.2"",""9.6"",""242"",""49.8% L / 50.2% R"",""0.0"",""11,934"",""15.0"",""No"",""00:00:18.4"",""31"",""24.0"",""34"",""21"",""43"",""01:14:29"",""01:15:07"",""-334"",""62"""
"Running,2026-04-05 13:57:26,false,""1 h 45 m, 2 zone"",""20.36"",""1,473"",""01:45:01"",""138"",""148"",""3.6"",""167"",""174"",""5:10"",""4:40"",""30"",""24"",""1.16"",""8.9"",""10.5"",""249"",""49.7% L / 50.3% R"",""0.0"",""17,374"",""13.0"",""No"",""00:00:01.4"",""22"",""24.0"",""29"",""19"",""43"",""01:44:57"",""01:45:01"",""-36"",""57"""
"Running,2026-04-04 19:45:12,false,""Run 04.04.26"",""15.67"",""1,106"",""01:15:01"",""138"",""160"",""3.6"",""166"",""190"",""4:47"",""2:43"",""8"",""6"",""1.25"",""8.3"",""10.6"",""243"",""50.2% L / 49.8% R"",""0.0"",""12,284"",""15.0"",""No"",""00:00:01.3"",""28"",""25.0"",""29"",""22"",""38"",""01:14:52"",""01:15:01"",""2"",""11"""
"Running,2026-04-02 22:55:41,false,""1 hour 2 zone"",""11.26"",""825"",""01:00:02"",""135"",""142"",""3.0"",""165"",""168"",""5:20"",""5:00"",""22"",""15"",""1.14"",""8.9"",""10.4"",""249"",""50.5% L / 49.5% R"",""0.0"",""9,824"",""22.0"",""No"",""00:00:02.5"",""13"",""27.0"",""30"",""22"",""36"",""01:00:00"",""01:00:02"",""-0"",""10"""
"Running,2026-04-01 21:56:22,false,""Run 01.04.26"",""16.38"",""1,239"",""01:25:02"",""144"",""175"",""4.1"",""156"",""217"",""5:11"",""3:02"",""17"",""9"",""1.20"",""7.6"",""8.9"",""253"",""49.8% L / 50.2% R"",""0.0"",""13,000"",""-9.0"",""No"",""00:01:16.3"",""44"",""26.0"",""32"",""21"",""42"",""01:23:16"",""01:25:02"",""2"",""12"""
"Running,2026-03-31 23:08:45,false,""1 h 20 min 2 zone"",""17.30"",""1,190"",""01:20:02"",""139"",""148"",""3.8"",""166"",""170"",""4:38"",""4:22"",""7"",""2"",""1.30"",""8.2"",""11.0"",""236"",""50.3% L / 49.7% R"",""0.0"",""13,164"",""13.0"",""No"",""00:00:02.1"",""19"",""24.0"",""31"",""21"",""43"",""01:19:57"",""01:20:02"",""3"",""11"""
"Running,2026-03-28 09:11:32,false,""Running"",""3.56"",""235"",""00:19:36"",""122"",""136"",""1.8"",""165"",""183"",""5:30"",""4:03"",""4"",""218"",""1.08"",""9.7"",""10.6"",""252"",""48.9% L / 51.1% R"",""0.0"",""3,202"",""14.0"",""No"",""00:03:06.5"",""4"",""19.0"",""30"",""21"",""40"",""00:19:35"",""00:19:36"",""12"",""228"""
"Running,2026-03-28 08:16:10,false,""Running"",""3.45"",""317"",""00:19:12"",""156"",""169"",""3.1"",""169"",""208"",""5:34"",""3:22"",""216"",""2"",""1.06"",""9.1"",""9.8"",""246"",""49.9% L / 50.1% R"",""0.0"",""3,204"",""12.0"",""No"",""00:02:21.7"",""4"",""17.0"",""35"",""24"",""40"",""00:19:11"",""00:19:12"",""15"",""231"""
"Running,2026-03-26 22:46:54,false,""Run 26.03.26"",""11.16"",""769"",""00:50:02"",""142"",""162"",""3.6"",""170"",""187"",""4:29"",""3:07"",""7"",""6"",""1.30"",""7.8"",""10.4"",""238"",""50.6% L / 49.4% R"",""0.0"",""8,382"",""14.0"",""No"",""00:00:01.5"",""22"",""24.0"",""31"",""15"",""38"",""00:49:58"",""00:50:02"",""9"",""17"""
